epoch;epsilon;loss;randomF1;oracleF1;rougeF1;rougeRecall;rougePrecision;actual;pred;nselect;nskip;query
171; 0.000; 0.000019; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.019}; 19; 0; 1
172; 0.000; 0.000018; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.018}; 19; 0; 1
173; 0.000; 0.000017; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.018}; 19; 0; 1
174; 0.000; 0.000017; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.018}; 19; 0; 1
175; 0.000; 0.000016; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.018}; 19; 0; 1
176; 0.000; 0.000016; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.018}; 19; 0; 1
177; 0.000; 0.000015; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.018}; 19; 0; 1
178; 0.000; 0.000015; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.017}; 19; 0; 1
179; 0.000; 0.000014; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.017}; 19; 0; 1
180; 0.000; 0.000014; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.017}; 19; 0; 1
181; 0.000; 0.000014; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.017}; 19; 0; 1
182; 0.000; 0.000013; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.017}; 19; 0; 1
183; 0.000; 0.000013; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.017}; 19; 0; 1
184; 0.000; 0.000012; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.016}; 19; 0; 1
185; 0.000; 0.000012; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.016}; 19; 0; 1
186; 0.000; 0.000012; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.016}; 19; 0; 1
187; 0.000; 0.000011; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.016}; 19; 0; 1
188; 0.000; 0.000011; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.016}; 19; 0; 1
189; 0.000; 0.000011; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.016}; 19; 0; 1
190; 0.000; 0.000010; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.016}; 19; 0; 1
191; 0.000; 0.000010; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.015}; 19; 0; 1
192; 0.000; 0.000010; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.015}; 19; 0; 1
193; 0.000; 0.000010; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.015}; 19; 0; 1
194; 0.000; 0.000009; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.015}; 19; 0; 1
195; 0.000; 0.000009; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.015}; 19; 0; 1
196; 0.000; 0.000009; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.015}; 19; 0; 1
197; 0.000; 0.000009; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.015}; 19; 0; 1
198; 0.000; 0.000008; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.014}; 19; 0; 1
199; 0.000; 0.000008; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.014}; 19; 0; 1
200; 0.000; 0.000008; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.014}; 19; 0; 1
201; 0.000; 0.000008; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.014}; 19; 0; 1
202; 0.000; 0.000007; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.014}; 19; 0; 1
203; 0.000; 0.000007; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.014}; 19; 0; 1
204; 0.000; 0.000007; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.014}; 19; 0; 1
205; 0.000; 0.000007; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.014}; 19; 0; 1
206; 0.000; 0.000007; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.013}; 19; 0; 1
207; 0.000; 0.000007; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.013}; 19; 0; 1
208; 0.000; 0.000006; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.013}; 19; 0; 1
209; 0.000; 0.000006; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.013}; 19; 0; 1
210; 0.000; 0.000006; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.013}; 19; 0; 1
211; 0.000; 0.000006; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.013}; 19; 0; 1
212; 0.000; 0.000006; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.013}; 19; 0; 1
213; 0.000; 0.000006; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.013}; 19; 0; 1
214; 0.000; 0.000006; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.013}; 19; 0; 1
215; 0.000; 0.000005; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
216; 0.000; 0.000005; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
217; 0.000; 0.000005; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
218; 0.000; 0.000005; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
219; 0.000; 0.000005; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
220; 0.000; 0.000005; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
221; 0.000; 0.000005; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
222; 0.000; 0.000005; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
223; 0.000; 0.000005; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
224; 0.000; 0.000005; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
225; 0.000; 0.000005; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
226; 0.000; 0.000004; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
227; 0.000; 0.000004; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
228; 0.000; 0.000004; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
229; 0.000; 0.000004; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
230; 0.000; 0.000004; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
231; 0.000; 0.000004; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
232; 0.000; 0.000004; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
233; 0.000; 0.000004; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
234; 0.000; 0.000004; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
235; 0.000; 0.000004; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
236; 0.000; 0.000004; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
237; 0.000; 0.000004; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
238; 0.000; 0.000004; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
239; 0.000; 0.000004; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
240; 0.000; 0.000004; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
241; 0.000; 0.000004; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
242; 0.000; 0.000004; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
243; 0.000; 0.000004; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
244; 0.000; 0.000003; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
245; 0.000; 0.000003; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
246; 0.000; 0.000003; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
247; 0.000; 0.000003; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
248; 0.000; 0.000003; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
249; 0.000; 0.000003; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
250; 0.000; 0.000003; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
251; 0.000; 0.000003; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
252; 0.000; 0.000003; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
253; 0.000; 0.000003; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
254; 0.000; 0.000003; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
255; 0.000; 0.000003; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
256; 0.000; 0.000003; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
257; 0.000; 0.000003; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
258; 0.000; 0.000003; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
259; 0.000; 0.000003; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
260; 0.000; 0.000003; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
261; 0.000; 0.000003; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
262; 0.000; 0.000003; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
263; 0.000; 0.000003; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
264; 0.000; 0.000003; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
265; 0.000; 0.000003; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
266; 0.000; 0.000003; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
267; 0.000; 0.000003; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
268; 0.000; 0.000003; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
269; 0.000; 0.000003; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
270; 0.000; 0.000003; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
271; 0.000; 0.000003; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
272; 0.000; 0.000003; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
273; 0.000; 0.000003; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
274; 0.000; 0.000003; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
275; 0.000; 0.000003; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
276; 0.000; 0.000003; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
277; 0.000; 0.000003; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
278; 0.000; 0.000003; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
279; 0.000; 0.000003; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
280; 0.000; 0.000003; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
281; 0.000; 0.000003; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
282; 0.000; 0.000003; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
283; 0.000; 0.000003; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
284; 0.000; 0.000003; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
285; 0.000; 0.000003; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
286; 0.000; 0.000003; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
287; 0.000; 0.000003; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
288; 0.000; 0.000003; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
289; 0.000; 0.000003; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
290; 0.000; 0.000003; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
291; 0.000; 0.000003; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
292; 0.000; 0.000003; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
293; 0.000; 0.000003; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
294; 0.000; 0.000003; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
295; 0.000; 0.000003; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
296; 0.000; 0.000003; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
297; 0.000; 0.000003; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
298; 0.000; 0.000003; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
299; 0.000; 0.000003; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
300; 0.000; 0.000003; 0.142386; 0.142480; 0.142386; 0.086331; 0.406015; {min=0.000, max=0.010}; {min=-0.276, max=0.012}; 19; 0; 1
